title,release_year,budget,runtime,mpaa_rating_numeric,metascore,director_score,cast_score,genre_war,genre_western,genre_sci-fi,genre_biography,genre_musical,genre_thriller,genre_mystery,genre_news,genre_sport,genre_animation,genre_adventure,genre_family,genre_crime,genre_music,genre_romance,genre_history,genre_fantasy,genre_drama,genre_horror,genre_action,genre_comedy,genre_documentary
One Flew Over the Cuckoo's Nest,1975,3000000,133,4,84,7.6,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Barry Lyndon,1975,11000000,185,2,89,8.2,4.8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Three Days of the Condor,1975,7800000,117,4,63,6.8,4.9,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tommy,1975,5000000,111,2,66,6.5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Rocky Horror Picture Show,1975,1400000,100,4,65,7.4,4.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Shivers,1975,179000,88,4,58,6.7,3.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Shampoo,1975,4000000,110,4,65,6.8,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Jaws,1975,7000000,124,2,87,7.5,4.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
The Stepford Wives,1975,500000,117,2,54,6.9,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Monty Python and the Holy Grail,1975,400000,91,2,91,7.1,4.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
The Return of the Pink Panther,1975,5000000,113,1,61,7.1,4.8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Love and Death,1975,3000000,85,2,89,7.2,5.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Dog Day Afternoon,1975,1800000,125,4,86,7.1,5.8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Rollerball,1975,6000000,125,4,56,7,4.2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
A Boy and His Dog,1975,400000,90,4,68,6.4,3.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Nashville,1975,2200000,160,4,96,6.8,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
Logan's Run,1976,9000000,119,2,53,6.8,4.3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
King Kong,1976,23000000,134,2,61,6.6,5.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Taxi Driver,1976,1900000,114,4,94,7.6,8.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
The Omen,1976,2800000,111,4,62,7.1,4.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rocky,1976,1000000,120,2,70,7.2,5.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Network,1976,3800000,122,4,83,7.1,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
All the President's Men,1976,8500000,138,2,84,7.2,5.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
The Pink Panther Strikes Again,1976,6000000,103,2,60,7.1,4.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
The Outlaw Josey Wales,1976,3700000,135,2,69,7.2,5.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Carrie,1976,1800000,98,4,86,6.7,4.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Obsession,1976,1400000,99,2,59,6.7,4.8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Marathon Man,1976,6500000,125,4,64,6.1,5.2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Futureworld,1976,2500000,108,2,46,5.7,3.7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
