title,release_year,budget,revenue,runtime,mpaa_rating_numeric,director_score,cast_score,genre_war,genre_western,genre_sci-fi,genre_biography,genre_musical,genre_thriller,genre_mystery,genre_news,genre_sport,genre_animation,genre_adventure,genre_family,genre_crime,genre_music,genre_romance,genre_history,genre_fantasy,genre_drama,genre_horror,genre_action,genre_comedy,genre_documentary
One Flew Over the Cuckoo's Nest,1975,3000000,108981275,133,4,7.6,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Barry Lyndon,1975,11000000,260131,185,2,8.2,4.8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Three Days of the Condor,1975,7800000,41509797,117,4,6.8,4.9,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tommy,1975,5000000,34300000,111,2,6.5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Rocky Horror Picture Show,1975,1400000,170000000,100,4,7.4,4.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Shivers,1975,179000,1000000,88,4,6.7,3.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Shampoo,1975,4000000,60000000,110,4,6.8,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Jaws,1975,7000000,470653000,124,2,7.5,4.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
The Stepford Wives,1975,500000,8700000,117,2,6.9,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Monty Python and the Holy Grail,1975,400000,5028948,91,2,7.1,4.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
The Return of the Pink Panther,1975,5000000,41833347,113,1,7.1,4.8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Love and Death,1975,3000000,20173742,85,2,7.2,5.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Dog Day Afternoon,1975,1800000,46665856,125,4,7.1,5.8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Rollerball,1975,6000000,30000000,125,4,7,4.2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
A Boy and His Dog,1975,400000,6900000,90,4,6.4,3.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Nashville,1975,2200000,9995555,160,4,6.8,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
Logan's Run,1976,9000000,25000000,119,2,6.8,4.3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
King Kong,1976,23000000,90614445,134,2,6.6,5.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Taxi Driver,1976,1900000,28579636,114,4,7.6,8.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
The Omen,1976,2800000,60922980,111,4,7.1,4.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rocky,1976,1000000,225253184,120,2,7.2,5.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Network,1976,3800000,23700000,122,4,7.1,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
All the President's Men,1976,8500000,70600000,138,2,7.2,5.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
The Pink Panther Strikes Again,1976,6000000,33833201,103,2,7.1,4.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
The Outlaw Josey Wales,1976,3700000,31800000,135,2,7.2,5.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Carrie,1976,1800000,33800000,98,4,6.7,4.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Obsession,1976,1400000,4468000,99,2,6.7,4.8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Marathon Man,1976,6500000,21709020,125,4,6.1,5.2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Futureworld,1976,2500000,4200000,108,2,5.7,3.7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Man Who Fell to Earth,1976,1500000,100072,139,4,6.7,3.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Bad News Bears,1976,9000000,42349782,102,2,7.3,4.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Family Plot,1976,4500000,13200000,120,2,6.8,4.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
Silent Movie,1976,4400000,36145695,87,2,6.8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A Star Is Born,1976,6000000,80000000,139,4,6.1,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Annie Hall,1977,4000000,38288028,93,2,7.2,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Star Wars,1977,11000000,775398007,121,2,7.3,8.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
The Rescuers,1977,7500000,169015869,78,1,6.9,4.1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Close Encounters of the Third Kind,1977,20000000,306889114,137,2,7.5,4.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A Bridge Too Far,1977,22000000,50750000,175,2,7.6,5.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
